0: fufu
1: puripiri
2: ciuciu
3: pipo
4: tuti
5: simi
6: suki
7: satto
8: pibe
9: beppe
10: dodo
11: dopuri
12: dociu
13: dopu
14: doti
15: dosim
16: doki
17: dotto
18: dobe
19: doppe
20: efis
30: gitti
40: coku
50: gigi
60: aiso
70: fert
80: chua
90: farfiu
100: lars
1000: boh
1000000: boob
1000000000: booj
1000000000000: boos
1000000000000000: boor
1000000000000000000: boop
1000000000000000000000: bool
1000000000000000000000000: boon
1000000000000000000000000000: booc
1000000000000000000000000000000: boog
1000000000000000000000000000000000: boot
1000000000000000000000000000000000000: booi
