0: noll
1: en
2: två
3: tre
4: fyra
5: fem
6: sex
7: sju
8: åtta
9: nio
10: tio
11: elva
12: tolv
13: tretton
14: fjorton
15: femton
16: sexton
17: sjutton
18: arton
19: nitton
20: tjugo
30: trettio
40: fyrtio
50: femtio
60: sextio
70: sjuttio
80: åttio
90: nittio
100: hundra
1000: tusen
1000000: miljoner
1000000000: miljarder
1000000000000: biljoner
1000000000000000: kvadriljon
1000000000000000000: kvintiljon
1000000000000000000000: sextilljon
1000000000000000000000000: septillion
1000000000000000000000000000: oktillion
1000000000000000000000000000000: nonmiljoner
1000000000000000000000000000000000: decillion
1000000000000000000000000000000000000: dedecillion
